tipo_operacion|last_date_load|inicial_date_load|tipo_propiedad|titulo|codigo|construye|link_publicacion|publicada|inmobiliaria|precio_clp|precio_uf|direccion|nombre_region|zona|superficie_util|dormitorios|banios|estado_proyecto|fecha_entrega|superficie_total|latitud|longitud|id_oportunidad
venta|2023-04-12|2022-11-03|departamento|Parque San Marcos Departamentos|7227|Novatec|https://www.portalinmobiliario.com/venta/departamento/antofagasta-antofagasta/7227-parque-san-marcos-departamentos-nva|identidad verificada|Aconcagua|102106210|2758|Calle Los Exploradores Esquina Los Fundadores, Costa Laguna, Antofagasta, Antofagasta|Antofagasta|Norte + V|47.38 - 58.59 m²|2 - 3|1||2 Semestre 2023||-23.5326625|-70.3948777|
venta|2023-04-12|2022-11-03|departamento|Valdovinos 201|10203|Constructora Carrán|https://www.portalinmobiliario.com/venta/departamento/san-joaquin-metropolitana/10203-valdovinos-201-nva|identidad verificada|Inmobiliaria Proyección|119025187|3215|Av. Carlos Valdovinos 201, Carlos Valdovinos, San Joaquín, RM (Metropolitana)|Metropolitana de Santiago|Centro|33.93 - 59.54 m²|1 - 3|1 - 2||2 Semestre 2024||-33.4855237|-70.6254614|
venta|2023-05-15|2023-05-10|casa|Casas Mirador Punta Pite|10965|Inmobiliaria y Constructora Paseo Puente|https://www.portalinmobiliario.com/venta/casa/papudo-valparaiso/10965-casas-mirador-punta-pite-nva|identidad verificada|Constructora Target|718179907|19964|Papudo, Chile, Centro de Papudo, Papudo, Valparaíso|||218 m²|3|4||Segundo semestre 2024||-32.5072087|-71.4485013|
venta|2022-12-16|2022-11-03|departamento|Edificio Bandera 713|9258|Pilares|https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/9258-edificio-bandera-713-nva|identidad verificada|Pilares|114993292|3292|Calle Bandera 713, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|Metropolitana de Santiago|Centro|32.47 - 60.71 m²|1 - 2|1 - 2|Lanzamiento|1 Semestre 2024||-33.4349416|-70.652955|
venta|2022-11-03|2022-11-03|departamento|Espacio Albano Oriente|8322|Euroconstructora|https://www.portalinmobiliario.com/venta/departamento/la-cisterna-metropolitana/8322-espacio-albano-oriente-nva|Euro Inmobiliaria|Euro Inmobiliaria|85670598|2471|Av. Fernández Albano 637, El Parrón, La Cisterna, RM (Metropolitana)|||38.18 - 63.23 m²|2 - 3|1 - 2|Entrega inmediata|||-33.5251499|-70.6535377|
venta|2022-11-03|2022-11-03|casa|Mirador del Ralco|10610|Constructora Jomar SPA|https://www.portalinmobiliario.com/venta/casa/los-angeles-biobio/10610-mirador-del-ralco-nva|identidad verificada|Martabid|82862294|2390|Calle Ottawa, Los Ángeles, Biobío|||71.62 - 72.64 m²|3|1 - 2|Pronta entrega|Diciembre 2022|113.14 - 223.7 m²|-37.4823298|-72.335154|
venta|2023-02-06|2022-11-03|departamento|Edificio Terraza Vivaceta|10669|Diaz Cumsille Ingenieros|https://www.portalinmobiliario.com/venta/departamento/independencia-metropolitana/10669-edificio-terraza-vivaceta-nva|identidad verificada|Inmobiliaria Dicsa|119929577|3397|Avenida Fermin Vivaceta 2648, Mirador Viejo, Independencia, RM (Metropolitana)|Metropolitana de Santiago|Centro|44.57 - 65.32 m²|2 - 3|1 - 2|Lanzamiento|Julio 2024||-33.4027518|-70.6707757|
venta|2023-03-02|2022-11-03|departamento|Siena Rodrigo de Araya 3280|9154|Siena Constructora|https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9154-siena-rodrigo-de-araya-3280-nva|identidad verificada|Siena Inmobiliaria|155647724|4382|Rodrigo De Araya 3280, Juan Gómez Millas, Ñuñoa, RM (Metropolitana)|Metropolitana de Santiago|Centro|55.03 m²|2|2|Entrega inmediata|||-33.4734492|-70.5974192|
venta|2023-04-11|2022-11-03|departamento|Edificio Boho Concept|7660||https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/7660-edificio-boho-concept-nva|identidad verificada|Avsa|108303717|2950|Compañía De Jesús 1656, Barrio Brasil, Santiago, RM (Metropolitana)|Metropolitana de Santiago|Centro|44.15 - 49.23 m²|2|1 - 2|Entrega inmediata|||-33.4397017|-70.6602475|
venta|2023-04-12|2022-11-03|departamento|El Refugio|7794||https://www.portalinmobiliario.com/venta/departamento/pucon-la-araucania/7794-el-refugio-nva|identidad verificada|Inmobiliaria Tierras Del Sur|600938364|16232|Camino Pucón - Villarrica Km 7, Los Riscos, Camino a Villarrica, Pucón, La Araucanía|||137 - 139 m²|4|3|Entrega inmediata|||-39.2952233|-72.0125735|
venta|2023-04-12|2023-01-20|casa|Las Cortezas 10.500|10853|ICAAD|https://www.portalinmobiliario.com/venta/casa/penalolen-metropolitana/10853-las-cortezas-10500-nva|identidad verificada|Icaad|479432714|12950|Av. Las Cortezas 10.500, Arboretum - Club de Campo, Peñalolén, RM (Metropolitana)|Metropolitana de Santiago|Centro|140 m²|3|3||Marzo 2023||-33.4772348|-70.5220573|
venta|2023-04-12|2022-11-03|casa|Absalon Valle Cóndores|10652|Absalon|https://www.portalinmobiliario.com/venta/casa/san-esteban-valparaiso/10652-absalon-valle-condores-nva|identidad verificada|Absalon|128613842|3474|Tocornal 1018, Centro de San Esteban, San Esteban, Valparaíso|Valparaíso|Norte + V|73.91 - 85.66 m²|3|3||1 Semestre 2023||-32.8049746|-70.5952513|
venta|2023-04-12|2022-11-03|departamento|Vértice|9532||https://www.portalinmobiliario.com/venta/departamento/independencia-metropolitana/9532-vertice-nva|identidad verificada|Inmobilia|70933829|1916|Vivaceta 1702, Plaza Chacabuco, Independencia, RM (Metropolitana)|Metropolitana de Santiago|Centro|21.92 - 61.9 m²|1 - 3|1||2 Semestre 2023||-33.4099616|-70.6664826|
venta|2023-04-12|2023-03-02|departamento|Rupanco 120|9739|Pilares|https://www.portalinmobiliario.com/venta/departamento/la-florida-metropolitana/9739-rupanco-120-nva|identidad verificada|Pilares|88667286|2395|Rupanco 120, Plaza Vespucio, La Florida, RM (Metropolitana)|Metropolitana de Santiago|Centro|32.32 - 55.3 m²|1 - 2|1 - 2||1 Semestre 2023||-33.5208335|-70.6039673|
venta|2023-04-12|2022-11-03|departamento|Edificio Alto Las Monjas|8016|Constructora Patagonia|https://www.portalinmobiliario.com/venta/departamento/concepcion-biobio/8016-edificio-alto-las-monjas-nva|identidad verificada|Inmobiliaria Domus|112546367|3040|Cosme Churruca 400, Lomas De San Andrés, Lomas de San Andrés, Concepción, Biobío|||49.67 - 84.62 m²|2 - 3|2|Entrega inmediata|||-36.7914882|-73.0505241|
venta|2023-04-12|2022-11-03|departamento|Alto Mirador|9741|RVC|https://www.portalinmobiliario.com/venta/departamento/valparaiso-valparaiso/9741-alto-mirador-nva|RVC|Rvc|68638475|1854|Navío San Martín 315, Valparaíso, Valparaíso|Valparaíso|Norte + V|35.93 - 75.84 m²|1 - 3|1 - 2||4 Trimestre 2023||-33.0601534|-71.5830109|
venta|2023-04-12|2022-11-03|departamento|Edificio El Retiro|9422|Ramco|https://www.portalinmobiliario.com/venta/departamento/quilpue-valparaiso/9422-edificio-el-retiro-nva|identidad verificada|Constructora Ramcom|93443102|2524|San Enrique 1024, El Retiro - Zoológico, Quilpué, Valparaíso|Valparaíso|Norte + V|50 - 68 m²|2 - 3|1 - 2||1 Semestre 2023||-33.0411165|-71.4439725|
venta|2023-04-12|2022-11-03|departamento|Espacio Huérfanos|9591|Constructora Huérfanos|https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/9591-espacio-huerfanos-nva|identidad verificada|Espacio Huérfanos|94775888|2560|General Bulnes 259, Barrio Yungay, Santiago, RM (Metropolitana)|Metropolitana de Santiago|Centro|20 - 44.32 m²|1 - 2|1 - 2|Entrega inmediata|||-33.4420785|-70.6695564|
venta|2023-03-09|2023-02-14|departamento|Casona Abtao|10889|Inmobiliaria Navarra|https://www.portalinmobiliario.com/venta/departamento/valparaiso-valparaiso/10889-casona-abtao-nva|identidad verificada|Inmobiliaria Navarra.|92393268|2596|Abtao 450, Cerro Concepcion, Cerro Concepción, Valparaíso, Valparaíso|||34.4 - 77.1 m²|1 - 2|1 - 2|Entrega inmediata|||-33.0416424|-71.6274981|
venta|2023-03-09|2022-11-03|casa|Condominio Positano|9590|Guzmán y Rojas Ltda.|https://www.portalinmobiliario.com/venta/casa/buin-metropolitana/9590-condominio-positano-nva|identidad verificada|Stanza Inmobiliaria|343769867|9659|Camino Linderos 5402, Alto Jahuel, Buin, RM (Metropolitana)|Metropolitana de Santiago|Centro|140 m²|4|4|Lanzamiento|30/09/2023|412.44 - 498.66 m²|-33.7371224|-70.6860204|
venta|2023-04-12|2022-11-03|departamento|Condominio Costa Pacífico|10185|Constructora Nollagam Ltda|https://www.portalinmobiliario.com/venta/departamento/la-serena-coquimbo/10185-condominio-costa-pacifico-nva|identidad verificada|Inmobiliaria Nollagam|109695686|2963|Las Higueras Poniente 465, Avenida del Mar, La Serena, Coquimbo|Coquimbo|Norte + V|50 - 125 m²|2 - 3|1 - 4||2 Semestre 2023||-29.916053|-71.2747864|
venta|2023-04-12|2022-11-03|departamento|Espacio Prime|8749|EBCO|https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/8749-espacio-prime-nva|identidad verificada|Urmeneta Gestión Inmobiliaria|106067546|2865|Arcángel 1218, El Llano, San Miguel, RM (Metropolitana)|Metropolitana de Santiago|Centro|32 - 75 m²|1 - 3|1 - 2|Entrega inmediata|||-33.4884116|-70.6535361|
venta|2023-04-12|2022-11-03|departamento|Parque Vistasol|8681|Constructora Desco|https://www.portalinmobiliario.com/venta/departamento/quilpue-valparaiso/8681-parque-vistasol-nva|Desco|Desco|92924796|2510|Calle Camino Del Sol  2100, Paso Hondo, Quilpué, Valparaíso|Valparaíso|Norte + V|35.11 - 76.26 m²|1 - 3|1 - 2||2 Semestre 2023||-33.0344384|-71.4780544|
venta|2023-04-12|2022-11-03|departamento|Paso El Roble|9655|Mena y Ovalle|https://www.portalinmobiliario.com/venta/departamento/la-florida-metropolitana/9655-paso-el-roble-nva|identidad verificada|Sip|85187234|2301|Paso El Roble 187, Plaza Vespucio, La Florida, RM (Metropolitana)|Metropolitana de Santiago|Centro|25.72 - 51.83 m²|1 - 2|1 - 2|Entrega inmediata|||-33.516523|-70.6026368|
venta|2023-04-12|2022-11-03|departamento|Edificio Suecia 2345|8187|Sociedad Constructora Santa Cruz S.A.|https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/8187-edificio-suecia-2345-nva|identidad verificada|Asesorías Aldebarán|333936917|9020|Suecia 2345, Campus Oriente, Providencia, RM (Metropolitana)|Metropolitana de Santiago|Centro|85 - 111 m²|2 - 3|2 - 3|Entrega inmediata|||-33.4412326|-70.6016673|
venta|2023-04-12|2022-11-03|casa|La Reserva|10285|Inmobiliaria Lo Campino|https://www.portalinmobiliario.com/venta/casa/penalolen-metropolitana/10285-la-reserva-nva|identidad verificada|Inmobiliaria Lo Campino|389284555|10515|Avenida Álvaro Casanova 2391, Comunidad Ecológica, Peñalolén, RM (Metropolitana)|Metropolitana de Santiago|Centro|124.37 - 138.25 m²|3|3||1 Semestre 2024||-33.491155|-70.5258682|
venta|2023-04-12|2022-12-07|casa|Condominio Mediterráneo El Monte|10791||https://www.portalinmobiliario.com/venta/casa/el-monte-metropolitana/10791-condominio-mediterraneo-el-monte-nva|identidad verificada|Ecourbe Spa|243196409|6569|Miguel Moreira 093, El Monte, RM (Metropolitana)|Metropolitana de Santiago|Centro|107.17 - 172.89 m²|3 - 4|3 - 4||1 Semestre 2023||-33.687066|-71.0113088|
venta|2023-04-12|2022-11-03|casa|Townhouse Nocedal|10686||https://www.portalinmobiliario.com/venta/casa/la-reina-metropolitana/10686-townhouse-nocedal-nva|identidad verificada|Inmobiliaria Peumo|594348478|16054|Nocedal 7205, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)|Metropolitana de Santiago|Centro|156.91 m²|3|3||01/03/2023||-33.4374457|-70.5572501|
venta|2023-04-12|2022-11-03|departamento|Holanda 3451|9829|Constructora CPI Ltda.|https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9829-holanda-3451-nva|iEspacios|Iespacios|231719642|6259|Holanda 3451, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)|Metropolitana de Santiago|Centro|65.37 - 68.52 m²|2|2||1 Trimestre 2023||-33.4503843|-70.5961845|
venta|2023-04-12|2022-11-03|departamento|Costa Algarrobo Edificio Los Castaños|10424||https://www.portalinmobiliario.com/venta/departamento/algarrobo-valparaiso/10424-costa-algarrobo-edificio-los-castanos-nva|identidad verificada|Inmobiliaria Algarrobo|125504008|3390|Camino Público El Yeco 690, Algarrobo, Valparaíso|Valparaíso|Norte + V|41 - 74 m²|2 - 3|2||1 Semestre 2025||-33.3145092|-71.6498893|
venta|2023-04-12|2022-11-03|departamento|Edificio One Montemar|8198|Tecsa|https://www.portalinmobiliario.com/venta/departamento/concon-valparaiso/8198-edificio-one-montemar-nva|identidad verificada|Aconcagua|136610557|3690|Los Pellines 888, Montemar, Concón, Valparaíso|Valparaíso|Norte + V|37 - 119 m²|1 - 3|1 - 2||Diciembre 2023||-32.948788|-71.5389276|
venta|2023-04-12|2022-11-03|departamento|Edificio Le Brabant|8792|Boetsch Sur|https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/8792-edificio-le-brabant-nva|identidad verificada|Teja Sur Inmobiliaria|285808537|7720|La Brabanzón 2813, Las Lilas, Providencia, RM (Metropolitana)|Metropolitana de Santiago|Centro|63.32 - 93.44 m²|2|2 - 3|Entrega inmediata|||-33.4313834|-70.5940624|
